platform,algorithm,count,mean,std,var,median,p95,t_min,t_max
tls_results_raspberry,frodo1344shake,100,0.5269,0.004860685407045277,2.362626262626291e-05,0.53,0.53,0.52,0.54
tls_results_raspberry,bp512_mlkem1024,100,0.5302,0.0014070529413628943,1.9797979797979724e-06,0.53,0.53,0.53,0.54
tls_results_raspberry,ffdhe6144,100,0.5303,0.0017144660799776573,2.9393939393939545e-06,0.53,0.53,0.53,0.54
tls_results_raspberry,p384_frodo976shake,100,0.56,0.0,0.0,0.56,0.56,0.56,0.56
tls_results_raspberry,p384_frodo976aes,100,0.62,0.0,0.0,0.62,0.62,0.62,0.62
tls_results_raspberry,frodo1344aes,100,0.6405,0.002190429135575859,4.7979797979796045e-06,0.64,0.6405,0.64,0.65
tls_results_raspberry,p521_frodo1344shake,100,0.6603,0.001714466079977679,2.939393939394029e-06,0.66,0.66,0.66,0.67
tls_results_raspberry,ffdhe8192,100,0.7403,0.0017144660799776573,2.939393939393955e-06,0.74,0.74,0.74,0.75
tls_results_raspberry,p521_frodo1344aes,100,0.7806000000000001,0.0023868325657594213,5.696969696969701e-06,0.78,0.79,0.78,0.79
tls_results_raspberry,bikel3,100,1.2902,0.0014070529413629164,1.9797979797980347e-06,1.29,1.29,1.29,1.3
tls_results_raspberry,x448_bikel3,100,1.3115,0.003588702812826372,1.2878787878787913e-05,1.31,1.32,1.31,1.32
tls_results_raspberry,p384_bikel3,100,1.4206999999999999,0.002564323999762412,6.575757575757495e-06,1.42,1.43,1.42,1.43
tls_results_raspberry,bikel5,100,2.7542,0.0055377492419452405,3.066666666666508e-05,2.75,2.76,2.75,2.77
tls_results_raspberry,p521_bikel5,100,2.8901,0.000999999999999969,9.99999999999938e-07,2.89,2.89,2.89,2.9
tls_results_ryzen,MLKEM1024,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,MLKEM512,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,MLKEM768,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,SecP256r1MLKEM768,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,SecP384r1MLKEM1024,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,X25519MLKEM768,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,bikel3,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,bikel5,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,brainpoolP256r1tls13,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,brainpoolP384r1tls13,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,brainpoolP512r1tls13,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,ffdhe2048,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,ffdhe3072,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,ffdhe4096,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
